 b, c, e, f
6895, Note_on_c, 76, 0
6900, Note_on_c, 78, 80
6955, Note_on_c, 78, 0
6960, Note_on_c, 76, 80
6960, Note_on_c, 69, 80
7069, Note_on_c, 69, 0
7069, Note_on_c, 76, 0
7080, Note_on_c, 67, 80
7080, Note_on_c, 73, 80
7181, Note_on_c, 73, 0
7181, Note_on_c, 67, 0
7200, Note_on_c, 74, 80
7200, Note_on_c, 66, 80
7418, Note_on_c, 66, 0
7418, Note_on_c, 74, 0
7440, Note_on_c, 93, 80
7440, Note_on_c, 81, 80
7495, Note_on_c, 81, 0
7495, Note_on_c, 93, 0
7500, Note_on_c, 81, 80
7500, Note_on_c, 93, 80
7555, Note_on_c, 93, 0
7555, Note_on_c, 81, 0
7560, Note_on_c, 81, 80
7560, Note_on_c, 93, 80
7669, Note_on_c, 93, 0
7669, Note_on_c, 81, 0
7680, Note_on_c, 86, 80
7680, Note_on_c, 78, 80
7680, Note_on_c, 74, 80
7730, Note_on_c, 86, 0
7735, Note_on_c, 74, 0
7735, Note_on_c, 78, 0
7740, Note_on_c, 85, 80
7849, Note_on_c, 85, 0
7860, Note_on_c, 74, 80
7860, Note_on_c, 83, 80
7860, Note_on_c, 78, 80
7975, Note_on_c, 78, 0
7975, Note_on_c, 83, 0
7975, Note_on_c, 74, 0
7980, Note_on_c, 81, 80
8035, Note_on_c, 81, 0
8040, Note_on_c, 79, 80
8095, Note_on_c, 79, 0
8100, Note_on_c, 78, 80
8155, Note_on_c, 78, 0
8160, Note_on_c, 76, 80
8210, Note_on_c, 76, 0
8220, Note_on_c, 74, 80
8323, Note_on_c, 74, 0
8340, Note_on_c, 74, 80
8618, Note_on_c, 74, 0
8640, Note_on_c, 86, 80
8640, Note_on_c, 78, 80
8640, Note_on_c, 74, 80
8690, Note_on_c, 86, 0
8695, Note_on_c, 74, 0
8695, Note_on_c, 78, 0
8700, Note_on_c, 85, 80
8809, Note_on_c, 85, 0
8820, Note_on_c, 78, 80
8820, Note_on_c, 83, 80
8820, Note_on_c, 75, 80
8935, Note_on_c, 75, 0
8935, Note_on_c, 83, 0
8935, Note_on_c, 78, 0
8940, Note_on_c, 83, 80
8990, Note_on_c, 83, 0
9000, Note_on_c, 78, 80
9000, Note_on_c, 84, 80
9000, Note_on_c, 75, 80
9101, Note_on_c, 75, 0
9101, Note_on_c, 84, 0
9101, Note_on_c, 78, 0
9240, Note_on_c, 97, 80
9295, Note_on_c, 97, 0
9300, Note_on_c, 96, 80
9355, Note_on_c, 96, 0
9360, Note_on_c, 97, 80
9410, Note_on_c, 97, 0
9420, Note_on_c, 100, 80
9584, Note_on_c, 100, 0
9600, Note_on_c, 79, 80
9600, Note_on_c, 88, 80
9600, Note_on_c, 76, 80
9650, Note_on_c, 88, 0
9655, Note_on_c, 76, 0
9655, Note_on_c, 79, 0
9660, Note_on_c, 86, 80
9769, Note_on_c, 86, 0
9780, Note_on_c, 85, 80
9780, Note_on_c, 76, 80
9780, Note_on_c, 79, 80
9895, Note_on_c, 79, 0
9895, Note_on_c, 76, 0
9895, Note_on_c, 85, 0
9900, Note_on_c, 83, 80
9955, Note_on_c, 83, 0
9960, Note_on_c, 81, 80
10015, Note_on_c, 81, 0
10020, Note_on_c, 79, 80
10075, Note_on_c, 79, 0
10080, Note_on_c, 78, 80
10135, Note_on_c, 78, 0
10140, Note_on_c, 76, 80
10249, Note_on_c, 76, 0
10260, Note_on_c, 76, 80
10538, Note_on_c, 76, 0
10560, Note_on_c, 81, 80
10560, Note_on_c, 79, 80
10560, Note_on_c, 88, 80
10610, Note_on_c, 88, 0
10620, Note_on_c, 85, 80
10729, Note_on_c, 85, 0
10729, Note_on_c, 79, 0
10729, Note_on_c, 81, 0
10740, Note_on_c, 86, 80
10795, Note_on_c, 86, 0
10800, Note_on_c, 85, 80
10800, Note_on_c, 88, 80
10800, Note_on_c, 79, 80
10903, Note_on_c, 79, 0
10903, Note_on_c, 88, 0
10903, Note_on_c, 85, 0
10920, Note_on_c, 80, 80
10920, Note_on_c, 86, 80
10920, Note_on_c, 89, 80
11023, Note_on_c, 89, 0
11023, Note_on_c, 86, 0
11023, Note_on_c, 80, 0
11160, Note_on_c, 102, 80
11208, Note_on_c, 102, 0
11220, Note_on_c, 105, 80
11268, Note_on_c, 105, 0
11280, Note_on_c, 102, 80
11330, Note_on_c, 102, 0
11340, Note_on_c, 98, 80
11484, Note_on_c, 98, 0
11520, Note_on_c, 74, 80
11520, Note_on_c, 86, 80
11520, Note_on_c, 78, 80
11570, Note_on_c, 86, 0
11575, Note_on_c, 78, 0
11575, Note_on_c, 74, 0
11580, Note_on_c, 85, 80
11689, Note_on_c, 85, 0
11700, Note_on_c, 78, 80
11700, Note_on_c, 74, 80
