a, b, c, d, e, f
2, 1512, Note_on_c, 0, 74, 0
2, 1512, Note_on_c, 0, 77, 0
2, 1574, Note_on_c, 0, 67, 80
2, 1574, Note_on_c, 0, 71, 80
2, 1574, Note_on_c, 0, 74, 80
2, 1574, Note_on_c, 0, 77, 80
2, 1574, Note_on_c, 0, 79, 80
2, 1598, Note_on_c, 0, 79, 0
2, 1598, Note_on_c, 0, 77, 0
2, 1598, Note_on_c, 0, 71, 0
2, 1598, Note_on_c, 0, 74, 0
2, 1600, Note_on_c, 0, 59, 0
2, 1600, Note_on_c, 0, 67, 0
2, 1600, Note_on_c, 0, 50, 0
2, 1600, Note_on_c, 0, 43, 0
2, 1638, Note_on_c, 0, 36, 80
2, 1664, Note_on_c, 0, 36, 0
2, 1673, Note_on_c, 0, 43, 80
2, 1673, Note_on_c, 0, 52, 80
2, 1683, Control_c, 0, 64, 127
2, 1699, Note_on_c, 0, 43, 0
2, 1729, Note_on_c, 0, 67, 80
2, 1729, Note_on_c, 0, 72, 80
2, 1729, Note_on_c, 0, 76, 80
2, 1731, Note_on_c, 0, 79, 80
2, 1747, Control_c, 0, 64, 0
2, 1757, Note_on_c, 0, 72, 0
2, 1759, Note_on_c, 0, 76, 0
2, 1759, Note_on_c, 0, 79, 0
2, 1759, Note_on_c, 0, 67, 0
2, 1768, Note_on_c, 0, 55, 80
2, 1768, Note_on_c, 0, 60, 80
2, 1768, Note_on_c, 0, 64, 80
2, 1768, Note_on_c, 0, 69, 80
2, 1768, Note_on_c, 0, 81, 80
2, 1794, Note_on_c, 0, 55, 0
2, 1796, Note_on_c, 0, 64, 0
2, 1796, Note_on_c, 0, 60, 0
2, 1830, Note_on_c, 0, 69, 0
2, 1832, Note_on_c, 0, 81, 0
2, 1863, Note_on_c, 0, 31, 80
2, 1863, Note_on_c, 0, 71, 80
2, 1865, Note_on_c, 0, 79, 80
2, 1865, Note_on_c, 0, 83, 80
2, 1891, Note_on_c, 0, 83, 0
2, 1891, Note_on_c, 0, 31, 0
2, 1891, Note_on_c, 0, 79, 0
2, 1921, Note_on_c, 0, 72, 80
2, 1921, Note_on_c, 0, 76, 80
2, 1921, Note_on_c, 0, 84, 80
2, 1925, Note_on_c, 0, 71, 0
2, 1925, Note_on_c, 0, 79, 80
2, 1960, Note_on_c, 0, 55, 80
2, 1960, Note_on_c, 0, 60, 80
2, 1960, Note_on_c, 0, 64, 80
2, 1982, Note_on_c, 0, 72, 0
2, 1986, Note_on_c, 0, 52, 0
2, 1986, Note_on_c, 0, 64, 0
2, 1986, Note_on_c, 0, 76, 0
2, 1986, Note_on_c, 0, 84, 0
2, 1986, Note_on_c, 0, 79, 0
2, 1986, Note_on_c, 0, 55, 0
2, 1996, Note_on_c, 0, 60, 0
2, 2026, Note_on_c, 0, 79, 80
2, 2050, Note_on_c, 0, 79, 0
2, 2059, Note_on_c, 0, 43, 80
2, 2059, Note_on_c, 0, 52, 80
2, 2059, Note_on_c, 0, 71, 80
2, 2063, Note_on_c, 0, 83, 80
2, 2069, Control_c, 0, 64, 127
2, 2085, Note_on_c, 0, 43, 0
2, 2112, Note_on_c, 0, 83, 0
2, 2112, Note_on_c, 0, 71, 0
2, 2126, Note_on_c, 0, 79, 80
2, 2138, Control_c, 0, 64, 0
2, 2160, Note_on_c, 0, 60, 80
2, 2160, Note_on_c, 0, 64, 80
2, 2160, Note_on_c, 0, 72, 80
2, 2160, Note_on_c, 0, 84, 80
2, 2161, Note_on_c, 0, 55, 80
2, 2185, Note_on_c, 0, 55, 0
2, 2185, Note_on_c, 0, 79, 0
2, 2185, Note_on_c, 0, 64, 0
2, 2185, Note_on_c, 0, 60, 0
2, 2185, Note_on_c, 0, 52, 0
2, 2185, Note_on_c, 0, 72, 0
2, 2189, Note_on_c, 0, 84, 0
2, 2222, Note_on_c, 0, 71, 80
2, 2222, Note_on_c, 0, 76, 80
2, 2224, Note_on_c, 0, 79, 80
2, 2224, Note_on_c, 0, 83, 80
2, 2260, Note_on_c, 0, 57, 80
2, 2264, Note_on_c, 0, 45, 80
2, 2286, Note_on_c, 0, 79, 0
2, 2286, Note_on_c, 0, 71, 0
2, 2286, Note_on_c, 0, 76, 0
