0,1,2,3
 52,38640,38762,0.625
 53,38770,38895,0.625
 54,38903,39027,0.625
 55,39033,39136,0.5
 48,39155,39215,0.25
 56,39165,39343,0.875
 60,39293,39343,0.25
 56,39431,39531,0.5
 58,39559,39668,0.625
 60,39688,39791,0.5
 54,39818,39950,0.75
 55,39948,40077,0.625
 57,40075,40187,0.625
 55,40204,40250,0.25
 60,40204,40477,1.0
 55,40345,40393,0.25
 58,40345,40393,0.25
 58,40475,40613,0.75
 57,40611,40746,0.75
 56,40744,40924,1.0
 58,40874,40924,0.25
 50,41009,41209,1.0
 58,41138,41208,0.375
 56,41140,41209,0.375
 55,41271,41338,0.375
 51,41403,41841,1.0
 60,41532,41601,0.375
 59,41663,41732,0.375
 58,41796,41841,0.25
 51,41928,42187,1.0
 57,41928,42187,1.0
 60,41958,41984,0.125
 60,42022,42045,0.125
 60,42086,42110,0.125
 60,42153,42226,0.375
 56,42313,42405,0.5
 58,42401,42436,0.125
 56,42539,42575,0.25
 58,42580,42673,0.5
 50,42582,42720,0.75
 53,42717,42856,0.75
 56,42717,42800,0.375
 58,42804,42820,0.125
 50,42850,42986,0.75
 56,42850,42876,0.125
 58,42850,42876,0.125
 56,42939,43007,0.375
 58,42939,43007,0.375
 51,42983,43122,0.75
 56,43060,43250,1.0
 58,43060,43250,1.0
 53,43118,43209,0.5
 51,43203,43239,0.25
 50,43247,43340,0.5
 48,43336,43373,0.25
 55,43379,43470,0.5
 58,43464,43504,0.25
 55,43597,43632,0.125
 58,43642,43733,0.5
 55,43771,43848,0.375
 58,43853,43872,0.125
 55,43899,43926,0.125
 58,43899,43926,0.125
 55,43988,44045,0.25
 58,43988,44045,0.25
 55,44112,44303,1.0
 58,44112,44303,1.0
 48,44166,44257,0.5
 56,44429,44520,0.5
 58,44517,44552,0.125
 56,44643,44679,0.25
 50,44685,44819,0.75
 58,44685,44776,0.5
 53,44813,44954,0.75
 56,44813,44899,0.5
 58,44904,44921,0.125
 58,44949,44974,0.125
 50,44951,45089,0.75
 56,44951,44974,0.125
 56,45037,45113,0.375
 58,45037,45111,0.375
 58,45165,45444,1.0
 56,45167,45446,1.0
 48,45353,45446,0.5
 50,45442,45481,0.25
 51,45489,45556,0.375
 55,45489,45556,0.375
 58,45489,45556,0.375
 51,45620,45646,0.125
 55,45620,45644,0.125
 56,45642,45670,0.125
 52,45644,45670,0.125
 53,45666,45692,0.125
 57,45666,45690,0.125
 54,45688,45716,0.125
 58,45688,45714,0.125
 55,45712,45736,0.125
 59,45712,45736,0.125
 56,45732,45760,0.125
 60,45732,45758,0.125
 58,45754,45790,0.25
 54,45756,45790,0.125
 55,45797,45833,0.25
 59,45797,45844,0.25
 56,45842,45880,0.25
 60,45842,45878,0.25
 58,45886,45923,0.25
 57,45929,45964,0.125
 60,45929,45962,0.125
 59,45968,46006,0.25
 56,45970,45996,0.125
 58,46013,46204,1.0
 60,46505,46538,0.125
 56,46548,46582,0.125
 58,46679,46716,0.25
 56,46680,46716,0.25
 50,46804,46840,0.25
 56,46935,46968,0.125
 58,46935,46968,0.125
 56,47063,47100,0.25
 56,47191,47227,0.25
 58,47191,47227,0.25
 48,47456,47549,0.5
 50,47544,47581,0.25
 55,47587,47626,0.25
 58,47723,47759,0.25
 60,47723,47759,0.25
 55,47725,47759,0.125
 58,47857,47895,0.25
 55,47990,48027,0.25
 58,47990,48027,0.25
 60,47990,48027,0.25
 55,48122,48156,0.125
 55,48253,48287,0.125
 58,48253,48287,0.125
 60,48253,48287,0.125
 55,48380,48518,0.75
 53,48514,48654,0.75
 52,48648,48688,0.25
 55,48780,48816,0.25
 58,48780,48816,0.25
 60,48780,48816,0.25
 58,48914,48960,0.25
 55,49045,49092,0.25
 52,49175,49246,0.375
 53,49305,49348,0.25
 55,49438,49484,0.25
 60,49562,49598,0.25
 55,49564,49600,0.25
 58,49564,49600,0.25
 48,49695,49744,0.25
 56,49695,49742,0.25
 56,49833,49869,0.25
 60,49833,49867,0.125
 52,49965,50015,0.25
 55,50101,50146,0.25
 56,50232,50280,0.25
 56,50360,50398,0.25
 60,50360,50396,0.25
 57,50491,50627,0.75
 51,50495,50560,0.375
 54,50623,50736,0.625
 55,50755,50893,0.75
 56,50889,50958,0.375
 51,51024,51091,0.375
 57,51024,51091,0.375
 54,51149,51222,0.375
 60,51149,51218,0.375
 56,51283,51328,0.25
 56,51412,51457,0.25
 58,51412,51457,0.25
 60,51540,51589,0.25
 50,51542,51589,0.25
 55,51672,51866,1.0
 56,51672,51790,0.625
 59,51672,51780,0.5
 58,51797,51866,0.375
 60,51797,51864,0.375
 51,51799,51866,0.375
 51,51928,52393,1.0
 60,52058,52150,0.5
 59,52193,52284,0.5
 58,52324,52392,0.375
