 b, c, e, f
3224, Note_on_c, 53, 0
3224, Note_on_c, 41, 0
3258, Control_c, 64, 0
3274, Note_on_c, 41, 80
3274, Note_on_c, 53, 80
3296, Note_on_c, 43, 80
3296, Note_on_c, 55, 80
3300, Note_on_c, 53, 0
3300, Note_on_c, 41, 0
3318, Note_on_c, 57, 80
3320, Note_on_c, 45, 80
3322, Note_on_c, 55, 0
3324, Note_on_c, 43, 0
3340, Note_on_c, 58, 80
3342, Note_on_c, 34, 80
3342, Note_on_c, 46, 80
3344, Note_on_c, 57, 0
3358, Note_on_c, 45, 0
3423, Note_on_c, 58, 0
3445, Control_c, 64, 127
3469, Note_on_c, 46, 0
3473, Note_on_c, 67, 80
3475, Note_on_c, 53, 80
3475, Note_on_c, 55, 80
3475, Note_on_c, 58, 80
3475, Note_on_c, 62, 80
3510, Note_on_c, 62, 0
3510, Note_on_c, 67, 0
3510, Note_on_c, 53, 0
3510, Note_on_c, 55, 0
3510, Note_on_c, 58, 0
3512, Note_on_c, 34, 0
3524, Control_c, 64, 0
3609, Note_on_c, 41, 80
3710, Control_c, 64, 127
3738, Note_on_c, 67, 80
3740, Note_on_c, 53, 80
3740, Note_on_c, 55, 80
3740, Note_on_c, 58, 80
3740, Note_on_c, 62, 80
3773, Note_on_c, 62, 0
3773, Note_on_c, 67, 0
3775, Note_on_c, 55, 0
3775, Note_on_c, 41, 0
3775, Note_on_c, 53, 0
3775, Note_on_c, 58, 0
3821, Control_c, 64, 0
3869, Note_on_c, 55, 80
3869, Note_on_c, 58, 80
3869, Note_on_c, 64, 80
3871, Note_on_c, 43, 80
3871, Note_on_c, 48, 80
3935, Note_on_c, 48, 0
3935, Note_on_c, 55, 0
3935, Note_on_c, 64, 0
3935, Note_on_c, 58, 0
3936, Note_on_c, 43, 0
3953, Note_on_c, 60, 80
3955, Note_on_c, 53, 80
3955, Note_on_c, 57, 80
3955, Note_on_c, 63, 80
3957, Note_on_c, 45, 80
4034, Note_on_c, 53, 0
4064, Note_on_c, 63, 0
4064, Note_on_c, 60, 0
4064, Note_on_c, 57, 0
4074, Note_on_c, 45, 0
4080, Note_on_c, 53, 80
4080, Note_on_c, 55, 80
4080, Note_on_c, 58, 80
4080, Note_on_c, 62, 80
4081, Note_on_c, 46, 80
4157, Control_c, 64, 127
4211, Note_on_c, 46, 0
4211, Note_on_c, 58, 0
4211, Note_on_c, 53, 0
4211, Note_on_c, 55, 0
4211, Note_on_c, 62, 0
4239, Control_c, 64, 0
4322, Note_on_c, 64, 80
4324, Note_on_c, 52, 80
4344, Note_on_c, 65, 80
4346, Note_on_c, 53, 80
4348, Note_on_c, 64, 0
4350, Note_on_c, 52, 0
4370, Note_on_c, 54, 80
4370, Note_on_c, 66, 80
4372, Note_on_c, 65, 0
4374, Note_on_c, 53, 0
4391, Note_on_c, 64, 80
4391, Note_on_c, 67, 80
4391, Note_on_c, 70, 80
4394, Note_on_c, 55, 80
4396, Note_on_c, 54, 0
4396, Note_on_c, 66, 0
4416, Note_on_c, 70, 0
4416, Note_on_c, 67, 0
4416, Note_on_c, 64, 0
4424, Note_on_c, 62, 80
4450, Note_on_c, 62, 0
4454, Note_on_c, 70, 80
4456, Note_on_c, 64, 80
4456, Note_on_c, 67, 80
4460, Control_c, 64, 127
4480, Note_on_c, 70, 0
4482, Note_on_c, 67, 0
4482, Note_on_c, 64, 0
4489, Note_on_c, 62, 80
4515, Note_on_c, 62, 0
4523, Note_on_c, 64, 80
4523, Note_on_c, 67, 80
4523, Note_on_c, 70, 80
4549, Note_on_c, 70, 0
4549, Note_on_c, 67, 0
4549, Note_on_c, 64, 0
4557, Note_on_c, 62, 80
4583, Note_on_c, 62, 0
4590, Note_on_c, 64, 80
4590, Note_on_c, 67, 80
4590, Note_on_c, 70, 80
4616, Note_on_c, 70, 0
4616, Note_on_c, 67, 0
4616, Note_on_c, 64, 0
4624, Note_on_c, 62, 80
4648, Note_on_c, 62, 0
4654, Note_on_c, 67, 80
4654, Note_on_c, 70, 80
4656, Note_on_c, 64, 80
4680, Note_on_c, 64, 0
4680, Note_on_c, 70, 0
4680, Note_on_c, 67, 0
4687, Note_on_c, 62, 80
4707, Control_c, 64, 0
4721, Note_on_c, 64, 80
4721, Note_on_c, 67, 80
4721, Note_on_c, 70, 80
4725, Note_on_c, 62, 0
4747, Note_on_c, 67, 0
4747, Note_on_c, 70, 0
4747, Note_on_c, 64, 0
4754, Note_on_c, 62, 80
4782, Note_on_c, 62, 0
4782, Note_on_c, 55, 0
4788, Note_on_c, 67, 80
4788, Note_on_c, 70, 80
4790, Note_on_c, 64, 80
4812, Note_on_c, 64, 0
4812, Note_on_c, 70, 0
4812, Note_on_c, 67, 0
4820, Note_on_c, 62, 80
4853, Note_on_c, 66, 80
4855, Note_on_c, 54, 80
4857, Note_on_c, 62, 0
4873, Note_on_c, 65, 80
4875, Note_on_c, 53, 80
4877, Note_on_c, 66, 0
4879, Note_on_c, 54, 0
4897, Note_on_c, 64, 80
4899, Note_on_c, 65, 0
4899, Note_on_c, 52, 80
4901, Note_on_c, 53, 0
4921, Note_on_c, 63, 80
4921, Note_on_c, 66, 80
4921, Note_on_c, 69, 80
4923, Note_on_c, 51, 80
4925, Note_on_c, 52, 0
4925, Note_on_c, 64, 0
4945, Note_on_c, 69, 0
4945, Note_on_c, 66, 0
4947, Note_on_c, 63, 0
4955, Note_on_c, 60, 80
4981, Note_on_c, 60, 0
4987, Note_on_c, 66, 80
4987, Note_on_c, 69, 80
4989, Note_on_c, 63, 80
5011, Note_on_c, 63, 0
5011, Note_on_c, 69, 0
5011, Note_on_c, 66, 0
5018, Note_on_c, 60, 80
5022, Control_c, 64, 127
5044, Note_on_c, 60, 0
5048, Note_on_c, 69, 80
5050, Note_on_c, 63, 80
5050, Note_on_c, 66, 80
5074, Note_on_c, 66, 0
5074, Note_on_c, 63, 0
5074, Note_on_c, 69, 0
5084, Note_on_c, 60, 80
5108, Note_on_c, 60, 0
5115, Note_on_c, 63, 80
5115, Note_on_c, 66, 80
5115, Note_on_c, 69, 80
5143, Note_on_c, 69, 0
5143, Note_on_c, 66, 0
5143, Note_on_c, 63, 0
5153, Note_on_c, 60, 80
5177, Note_on_c, 60, 0
5184, Note_on_c, 69, 80
5186, Note_on_c, 63, 80
5186, Note_on_c, 66, 80
5212, Note_on_c, 66, 0
5212, Note_on_c, 63, 0
5212, Note_on_c, 69, 0
5218, Note_on_c, 60, 80
5238, Control_c, 64, 0
5244, Note_on_c, 60, 0
5252, Note_on_c, 63, 80
5252, Note_on_c, 66, 80
5252, Note_on_c, 69, 80
5276, Note_on_c, 69, 0
5276, Note_on_c, 66, 0
5276, Note_on_c, 63, 0
5285, Note_on_c, 60, 80
5311, Note_on_c, 60, 0
5319, Note_on_c, 63, 80
5319, Note_on_c, 66, 80
5319, Note_on_c, 69, 80
5325, Note_on_c, 51, 0
5343, Note_on_c, 69, 0
5345, Note_on_c, 66, 0
5345, Note_on_c, 63, 0
5352, Note_on_c, 60, 80
5378, Note_on_c, 60, 0
5386, Note_on_c, 65, 80
5388, Note_on_c, 53, 80
5408, Note_on_c, 64, 80
5410, Note_on_c, 65, 0
5410, Note_on_c, 52, 80
5412, Note_on_c, 53, 0
5430, Note_on_c, 51, 80
5430, Note_on_c, 63, 80
5434, Note_on_c, 52, 0
5434, Note_on_c, 64, 0
5450, Note_on_c, 62, 80
5450, Note_on_c, 65, 80
5452, Note_on_c, 67, 80
5454, Note_on_c, 50, 80
5456, Note_on_c, 51, 0
5456, Note_on_c, 63, 0
5476, Note_on_c, 67, 0
5476, Note_on_c, 65, 0
5484, Note_on_c, 59, 80
5488, Note_on_c, 62, 0
5512, Note_on_c, 59, 0
5516, Note_on_c, 67, 80
5518, Note_on_c, 62, 80
5518, Note_on_c, 65, 80
5521, Control_c, 64, 127
5544, Note_on_c, 67, 0
5545, Note_on_c, 65, 0
5545, Note_on_c, 62, 0
5551, Note_on_c, 59, 80
5577, Note_on_c, 59, 0
5585, Note_on_c, 62, 80
5585, Note_on_c, 65, 80
5585, Note_on_c, 67, 80
5609, Note_on_c, 67, 0
5609, Note_on_c, 65, 0
5609, Note_on_c, 62, 0
5615, Note_on_c, 59, 80
5642, Note_on_c, 59, 0
5644, Note_on_c, 62, 80
5644, Note_on_c, 65, 80
5644, Note_on_c, 67, 80
5670, Note_on_c, 67, 0
5670, Note_on_c, 65, 0
5670, Note_on_c, 62, 0
5678, Note_on_c, 59, 80
5712, Note_on_c, 62, 80
5712, Note_on_c, 65, 80
5712, Note_on_c, 67, 80
5715, Note_on_c, 59, 0
5737, Note_on_c, 65, 0
5737, Note_on_c, 67, 0
5737, Note_on_c, 62, 0
5745, Note_on_c, 59, 80
5779, Note_on_c, 62, 80
5779, Note_on_c, 65, 80
5779, Note_on_c, 67, 80
5783, Note_on_c, 59, 0
5796, Control_c, 64, 0
5802, Note_on_c, 65, 0
5802, Note_on_c, 67, 0
5802, Note_on_c, 62, 0
5808, Note_on_c, 59, 80
5841, Note_on_c, 62, 80
5841, Note_on_c, 65, 80
5841, Note_on_c, 67, 80
5845, Note_on_c, 59, 0
5847, Note_on_c, 50, 0
5865, Note_on_c, 65, 0
5865, Note_on_c, 62, 0
5865, Note_on_c, 67, 0
5873, Note_on_c, 59, 80
5899, Note_on_c, 59, 0
5908, Note_on_c, 51, 80
5908, Note_on_c, 63, 80
5930, Note_on_c, 50, 80
5930, Note_on_c, 62, 80
5934, Note_on_c, 63, 0
5934, Note_on_c, 51, 0
5952, Note_on_c, 60, 80
5954, Note_on_c, 48, 80
5956, Note_on_c, 50, 0
5956, Note_on_c, 62, 0
5976, Note_on_c, 55, 80
5976, Note_on_c, 59, 80
5976, Note_on_c, 62, 80
5978, Note_on_c, 47, 80
5980, Note_on_c, 60, 0
5980, Note_on_c, 48, 0
6002, Note_on_c, 62, 0
6002, Note_on_c, 59, 0
6002, Note_on_c, 55, 0
6008, Note_on_c, 53, 80
6032, Note_on_c, 53, 0
6038, Note_on_c, 55, 80
6038, Note_on_c, 59, 80
6038, Note_on_c, 62, 80
6042, Control_c, 64, 127
6064, Note_on_c, 62, 0
6064, Note_on_c, 59, 0
6064, Note_on_c, 55, 0
6072, Note_on_c, 53, 80
6099, Note_on_c, 53, 0
6105, Note_on_c, 55, 80
6105, Note_on_c, 59, 80
6105, Note_on_c, 62, 80
6121, Control_c, 64, 0
6129, Note_on_c, 62, 0
6129, Note_on_c, 59, 0
6131, Note_on_c, 55, 0
6137, Note_on_c, 53, 80
6165, Note_on_c, 53, 0
6170, Note_on_c, 59, 80
6170, Note_on_c, 62, 80
6172, Note_on_c, 55, 80
6174, Control_c, 64, 127
6196, Note_on_c, 55, 0
6196, Note_on_c, 62, 0
6196, Note_on_c, 59, 0
6204, Note_on_c, 53, 80
6228, Note_on_c, 53, 0
6234, Note_on_c, 59, 80
6234, Note_on_c, 62, 80
6236, Note_on_c, 55, 80
6260, Note_on_c, 55, 0
6260, Note_on_c, 62, 0
6260, Note_on_c, 59, 0
6269, Note_on_c, 53, 80
6286, Control_c, 64, 0
6293, Note_on_c, 53, 0
6301, Note_on_c, 59, 80
6301, Note_on_c, 62, 80
6303, Note_on_c, 55, 80
6325, Note_on_c, 62, 0
6325, Note_on_c, 59, 0
6327, Note_on_c, 55, 0
6335, Note_on_c, 53, 80
6360, Note_on_c, 53, 0
6368, Note_on_c, 55, 80
6368, Note_on_c, 59, 80
6368, Note_on_c, 62, 80
6392, Note_on_c, 62, 0
6394, Note_on_c, 59, 0
6394, Note_on_c, 55, 0
6400, Note_on_c, 53, 80
6416, Note_on_c, 47, 0
6426, Note_on_c, 53, 0
6433, Note_on_c, 43, 80
6456, Note_on_c, 45, 80
6457, Note_on_c, 43, 0
6476, Note_on_c, 47, 80
6480, Note_on_c, 45, 0
6498, Note_on_c, 55, 80
6498, Note_on_c, 60, 80
6500, Note_on_c, 48, 80
6500, Note_on_c, 57, 80
6500, Note_on_c, 63, 80
6502, Note_on_c, 47, 0
6543, Note_on_c, 60, 0
6543, Note_on_c, 63, 0
6545, Note_on_c, 55, 0
6545, Note_on_c, 48, 0
6545, Note_on_c, 57, 0
6565, Note_on_c, 45, 80
6585, Note_on_c, 47, 80
6589, Note_on_c, 45, 0
6609, Note_on_c, 49, 80
